n = 12
h_i = 0.000000      min_w = -11.000000 
h_i = 0.100000      min_w = -11.035025 
h_i = 0.200000      min_w = -11.140405 
h_i = 0.300000      min_w = -11.317079 
h_i = 0.400000      min_w = -11.566724 
h_i = 0.500000      min_w = -11.892045 
h_i = 0.600000      min_w = -12.297708 
h_i = 0.700000      min_w = -12.792616 
h_i = 0.800000      min_w = -13.391527 
h_i = 0.900000      min_w = -14.105813 
h_i = 1.000000      min_w = -14.925971 
h_i = 1.100000      min_w = -15.827165 
h_i = 1.200000      min_w = -16.786540 
h_i = 1.300000      min_w = -17.788175 
h_i = 1.400000      min_w = -18.821451 
h_i = 1.500000      min_w = -19.879107 
h_i = 1.600000      min_w = -20.956008 
h_i = 1.700000      min_w = -22.048401 
h_i = 1.800000      min_w = -23.153474 
h_i = 1.900000      min_w = -24.269068 
h_i = 2.000000      min_w = -25.393497 
h_i = 2.100000      min_w = -26.525423 
h_i = 2.200000      min_w = -27.663770 
h_i = 2.300000      min_w = -28.807659 
h_i = 2.400000      min_w = -29.956367 
h_i = 2.500000      min_w = -31.109293 
h_i = 2.600000      min_w = -32.265933 
h_i = 2.700000      min_w = -33.425861 
h_i = 2.800000      min_w = -34.588714 
h_i = 2.900000      min_w = -35.754180 
h_i = 3.000000      min_w = -36.921991 
h_i = 3.100000      min_w = -38.091916 
h_i = 3.200000      min_w = -39.263750 
h_i = 3.300000      min_w = -40.437318 
h_i = 3.400000      min_w = -41.612463 
h_i = 3.500000      min_w = -42.789047 
h_i = 3.600000      min_w = -43.966949 
h_i = 3.700000      min_w = -45.146060 
h_i = 3.800000      min_w = -46.326282 
h_i = 3.900000      min_w = -47.507530 

Calculated Values:
h_i = 0.000000      min_h = -8.984973      loss = 2.015027
h_i = 0.100000      min_h = -11.031115      loss = 0.003910
h_i = 0.200000      min_h = -11.138199      loss = 0.002206
h_i = 0.300000      min_h = -11.315943      loss = 0.001136
h_i = 0.400000      min_h = -11.565207      loss = 0.001517
h_i = 0.500000      min_h = -11.888216      loss = 0.003829
h_i = 0.600000      min_h = -12.285057      loss = 0.012651
h_i = 0.700000      min_h = -12.769560      loss = 0.023056
h_i = 0.800000      min_h = -13.326311      loss = 0.065216
h_i = 0.900000      min_h = -13.978580      loss = 0.127232
h_i = 1.000000      min_h = -14.727053      loss = 0.198918
h_i = 1.100000      min_h = -15.563942      loss = 0.263223
h_i = 1.200000      min_h = -16.471899      loss = 0.314641
h_i = 1.300000      min_h = -17.509888      loss = 0.278288
h_i = 1.400000      min_h = -18.574865      loss = 0.246585
h_i = 1.500000      min_h = -19.691435      loss = 0.187672
h_i = 1.600000      min_h = -20.799316      loss = 0.156691
h_i = 1.700000      min_h = -21.913517      loss = 0.134884
h_i = 1.800000      min_h = -23.040035      loss = 0.113439
h_i = 1.900000      min_h = -24.172411      loss = 0.096657
h_i = 2.000000      min_h = -25.311125      loss = 0.082372
h_i = 2.100000      min_h = -26.453863      loss = 0.071560
h_i = 2.200000      min_h = -27.601135      loss = 0.062635
h_i = 2.300000      min_h = -28.752270      loss = 0.055389
h_i = 2.400000      min_h = -29.907406      loss = 0.048961
h_i = 2.500000      min_h = -31.066032      loss = 0.043261
h_i = 2.600000      min_h = -32.221863      loss = 0.044071
h_i = 2.700000      min_h = -33.391319      loss = 0.034542
h_i = 2.800000      min_h = -34.557159      loss = 0.031554
h_i = 2.900000      min_h = -35.725910      loss = 0.028269
h_i = 3.000000      min_h = -36.896427      loss = 0.025564
h_i = 3.100000      min_h = -38.068703      loss = 0.023213
h_i = 3.200000      min_h = -39.241928      loss = 0.021822
h_i = 3.300000      min_h = -40.418125      loss = 0.019193
h_i = 3.400000      min_h = -41.594944      loss = 0.017519
h_i = 3.500000      min_h = -42.772701      loss = 0.016346
h_i = 3.600000      min_h = -43.950165      loss = 0.016784
h_i = 3.700000      min_h = -45.132404      loss = 0.013655
h_i = 3.800000      min_h = -46.313683      loss = 0.012600
h_i = 3.900000      min_h = -47.495689      loss = 0.011840
